Start Date (in UTC),Account Name,Currency,Campaign Group ID,Campaign Group Name,Campaign Group Status,Campaign Group Start Date,Campaign ID,Campaign Name,Campaign Objective,Campaign Type,Campaign Status,Cost Type,Daily Budget,Total Budget,Campaign Start Date,Campaign End Date,Creative Name,Ad ID,Creative Status,Ad Introduction Text,Ad Headline,Ad Line,Click URL,Sponsored Update Type,DSC Name,Video Length (in Seconds),Total Spent,Impressions,Clicks,Click Through Rate,Average CPM,Average CPC,Reactions,Comments,Shares,Follows,Other Clicks,Total Social Actions,Total Engagements,Engagement Rate,Viral Impressions,Viral Clicks,Viral Reactions,Viral Comments,Viral Shares,Viral Follows,Viral Other Clicks,Conversions,Post-Click Conversions,View-Through Conversions,Conversion Rate,Cost per Conversion,Total Conversion Value,Return on Ad Spend,Viral Conversions,Viral Post-Click Conversions,Viral View-Through Conversions,Leads,Lead Forms Opened,Lead Form Completion Rate,Cost per Lead,Video Plays,Video Views,Video View Rate,Video Views at 25%,Video Views at 50%,Video Views at 75%,Video Completions,Video Completion Rate,Full Screen Plays,eCPV,Viral Video Plays,Viral Video Views,Viral Video Views at 25%,Viral Video Views at 50%,Viral Video Views at 75%,Viral Video Completions,Viral Video Completion Rate,Viral Video Full Screen Plays,Reach,Average Frequency,"Cost per 1,000 People Reached",Event Registrations,Click Event Registrations,View Event Registrations,Viral Event Registrations,Viral Click Event Registrations,Viral View Event Registrations,Clicks to Landing Page,Clicks to LinkedIn Page,Leads (Work Email),Lead Form Completion Rate (Work Email),Cost Per Lead (Work Email),Campaign Group End Date,Campaign Group Total Budget
2/12/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,14.11,260,8,3.077%,54.27,1.76,2,0,0,0,5,7,8,3.077%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0%,0.0,,
2/13/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,21.67,213,4,1.878%,101.74,5.42,0,0,0,2,1,3,4,1.878%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0%,0.0,,
2/14/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,22.66,500,11,2.2%,45.32,2.06,2,0,0,1,7,10,11,2.2%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0%,0.0,,
2/15/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,22.51,284,5,1.761%,79.26,4.5,1,0,0,0,1,2,5,1.761%,4,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,1,0,0%,0.0,,
2/16/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,22.68,325,8,2.462%,69.78,2.84,1,0,1,0,5,7,9,2.769%,0,0,0,0,0,0,0,1,0,1,12.5%,22.68,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0%,0.0,,
2/17/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,22.39,166,2,1.205%,134.88,11.2,0,0,0,1,0,1,2,1.205%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0%,0.0,,
2/18/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,14.91,155,4,2.581%,96.19,3.73,0,0,0,0,4,4,4,2.581%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0%,0.0,,
2/19/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,13.18,154,2,1.299%,85.58,6.59,1,0,0,0,1,2,2,1.299%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0%,0.0,,
2/20/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,20.49,292,4,1.37%,70.17,5.12,1,0,0,0,3,4,4,1.37%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0%,0.0,,
2/21/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,23.09,180,5,2.778%,128.28,4.62,1,0,0,0,3,4,5,2.778%,1,0,0,0,0,0,0,1,1,0,20%,23.09,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0%,0.0,,
